row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
1,A Song of Ice and Fire /  Game of Thrones,Book sales,0.9,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
2,A Song of Ice and Fire /  Game of Thrones,Box Office,0.001,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
3,A Song of Ice and Fire /  Game of Thrones,Home Video/Entertainment,0.28,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
4,A Song of Ice and Fire /  Game of Thrones,TV,4,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
5,A Song of Ice and Fire /  Game of Thrones,Video Games/Games,0.132,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
6,Aladdin,Box Office,0.76,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
7,Aladdin,Home Video/Entertainment,1,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
8,Aladdin,"Merchandise, Licensing & Retail",0.5,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
9,Aladdin,Music,0.447,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
10,Aladdin,Video Games/Games,2.2,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
11,Angry Birds,Box Office,0.353,2009,Video game,Jaakko Iisalo,Rovio
12,Angry Birds,Home Video/Entertainment,0.027,2009,Video game,Jaakko Iisalo,Rovio
13,Angry Birds,"Merchandise, Licensing & Retail",8,2009,Video game,Jaakko Iisalo,Rovio
14,Angry Birds,Video Games/Games,0.1,2009,Video game,Jaakko Iisalo,Rovio
15,Anpanman,Box Office,0.067,1973,Manga,Takashi Yanase,Froebel-kan
16,Anpanman,"Merchandise, Licensing & Retail",60.025,1973,Manga,Takashi Yanase,Froebel-kan
17,Assassin's Creed,Box Office,0.241,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
18,Assassin's Creed,Home Video/Entertainment,0.012,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
19,Assassin's Creed,Video Games/Games,4,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
20,Avengers,Box Office,7,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
21,Avengers,Comic or Manga,0.131,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
22,Avengers,Home Video/Entertainment,0.459,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
23,Avengers,"Merchandise, Licensing & Retail",5,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
24,Barbie,Box Office,0.005,1987,Animated film,Ruth Handler,Mattel
25,Barbie,Home Video/Entertainment,1,1987,Animated film,Ruth Handler,Mattel
26,Barbie,"Merchandise, Licensing & Retail",22,1987,Animated film,Ruth Handler,Mattel
27,Batman,Box Office,4,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
28,Batman,Home Video/Entertainment,1,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
29,Batman,"Merchandise, Licensing & Retail",20,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
30,Batman,TV,0.04,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
31,Ben 10,"Merchandise, Licensing & Retail",7,2005,Animated series,Man of Action Studios,Cartoon Network (AT&T)
32,Beyblade,Box Office,0.009,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
33,Beyblade,"Merchandise, Licensing & Retail",4,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
